High Income,Middle Income,Low Income;;;;;;
0,0,0;;;;;;
0.5909090909090909,0.5242718446601942,0.5833333333333334;;;;;;
1.1818181818181819,1.0485436893203883,1.1388888888888888;;;;;;
1.7727272727272727,1.5728155339805825,1.7222222222222223;;;;;;
2.3636363636363638,2.0970873786407767,2.3055555555555554;;;;;;
2.9545454545454546,2.621359223300971,2.888888888888889;;;;;;
3.5454545454545454,3.145631067961165,3.4722222222222223;;;;;;
4.136363636363637,3.6359223300970873,3.861111111111111;;;;;;
4.7272727272727275,4.160194174757281,4.444444444444445;;;;;;
5.318181818181818,4.684466019417476,4.902777777777778;;;;;;
5.454545454545454,5.160194174757281,5.208333333333333;;;;;;
6.045454545454546,5.631067961165049,5.791666666666667;;;;;;
6.090909090909091,6.097087378640777,6.375;;;;;;
6.681818181818182,6.621359223300971,6.958333333333333;;;;;;
7.2727272727272725,7.145631067961165,7.347222222222222;;;;;;
7.863636363636363,7.597087378640777,7.930555555555555;;;;;;
8.454545454545455,8.04368932038835,8.51388888888889;;;;;;
9.045454545454545,8.567961165048544,9.097222222222221;;;;;;
9.636363636363637,9.092233009708737,9.680555555555555;;;;;;
10.227272727272727,9.616504854368932,10.26388888888889;;;;;;
10.818181818181818,10.140776699029127,10.847222222222221;;;;;;
11.409090909090908,10.66504854368932,11.430555555555555;;;;;;
12,11.189320388349515,11.708333333333334;;;;;;
12.590909090909092,11.601941747572816,12.291666666666666;;;;;;
13.181818181818182,12.12621359223301,12.875;;;;;;
13.772727272727273,12.650485436893204,13.458333333333334;;;;;;
14.363636363636363,12.849514563106796,14.041666666666666;;;;;;
14.954545454545455,13.37378640776699,14.625;;;;;;
15.545454545454545,13.762135922330097,15.208333333333334;;;;;;
16.136363636363637,14.28640776699029,15.791666666666666;;;;;;
16.727272727272727,14.810679611650485,16.375;;;;;;
17.318181818181817,15.33495145631068,16.958333333333332;;;;;;
17.90909090909091,15.70388349514563,17.23611111111111;;;;;;
44699,16.067961165048544,17.819444444444443;;;;;;
19.09090909090909,16.42718446601942,18.40277777777778;;;;;;
19.681818181818183,16.781553398058254,18.98611111111111;;;;;;
20.272727272727273,17.305825242718445,19.569444444444443;;;;;;
20.863636363636363,17.83009708737864,19.63888888888889;;;;;;
21.454545454545453,18.354368932038835,20.22222222222222;;;;;;
22.045454545454547,18.87864077669903,20.805555555555557;;;;;;
22.636363636363637,19.402912621359224,21.38888888888889;;;;;;
21.363636363636363,19.92718446601942,21.97222222222222;;;;;;
21.954545454545453,20.45145631067961,22.555555555555557;;;;;;
22.545454545454547,20.766990291262136,23.13888888888889;;;;;;
23.136363636363637,20.864077669902912,23.72222222222222;;;;;;
23.727272727272727,21.388349514563107,24.305555555555557;;;;;;
22.772727272727273,21.9126213592233,24.88888888888889;;;;;;
23.363636363636363,21.980582524271846,25.47222222222222;;;;;;
23.954545454545453,22.50485436893204,26.055555555555557;;;;;;
24.545454545454547,23.02912621359223,26.63888888888889;;;;;;
25.136363636363637,23.519417475728154,27.22222222222222;;;;;;
25.727272727272727,24.04368932038835,27.805555555555557;;;;;;
26.318181818181817,24.567961165048544,28.38888888888889;;;;;;
26.90909090909091,25.09223300970874,28.97222222222222;;;;;;
44708,25.616504854368934,29.555555555555557;;;;;;
28.09090909090909,26.140776699029125,30.13888888888889;;;;;;
28.681818181818183,26.66504854368932,30.72222222222222;;;;;;
29.272727272727273,27.189320388349515,31.305555555555557;;;;;;
29.863636363636363,27.71359223300971,31.88888888888889;;;;;;
30.454545454545453,27.95145631067961,32.47222222222222;;;;;;
31.045454545454547,28.475728155339805,33.05555555555556;;;;;;
31.636363636363637,29,33.638888888888886;;;;;;
32.22727272727273,29.524271844660195,34.22222222222222;;;;;;
32.81818181818182,30.04854368932039,34.80555555555556;;;;;;
33.40909090909091,30.57281553398058,35.388888888888886;;;;;;
34,31.024271844660195,35.97222222222222;;;;;;
34.59090909090909,31.54854368932039,36.55555555555556;;;;;;
35.18181818181818,32.07281553398058,37.138888888888886;;;;;;
35.77272727272727,32.3252427184466,37.72222222222222;;;;;;
36.36363636363637,32.849514563106794,38.30555555555556;;;;;;
36.95454545454545,33.37378640776699,38.43055555555556;;;;;;
37.54545454545455,33.898058252427184,39.013888888888886;;;;;;
38.13636363636363,34.422330097087375,39.59722222222222;;;;;;
38.72727272727273,34.94660194174757,40.18055555555556;;;;;;
39.31818181818182,35.470873786407765,40.763888888888886;;;;;;
39.90909090909091,35.99514563106796,41.34722222222222;;;;;;
40.5,36.519417475728154,41.93055555555556;;;;;;
41.09090909090909,37.04368932038835,41.44444444444444;;;;;;
41.68181818181818,37.189320388349515,42.02777777777778;;;;;;
42.27272727272727,37.713592233009706,42.611111111111114;;;;;;
