High Income,Middle Income,Low Income,
-0.39646139457529767,-0.4355398969610681,-0.34629495149653794,
-0.39646139457529767,-0.4355398969610682,-0.3462949514965379,
-0.39646139457529767,-0.4352018951990476,-0.3462949514965379,
-0.39646139457529767,-0.43520189519904745,-0.34629495149653794,
-0.3964613945752976,-0.43572148591290105,-0.3462949514965379,
-0.3964613945752978,-0.435485929966253,-0.3462949514965379,
-0.39646139457529767,-0.4354859299662535,-0.3462949514965379,
-0.3964613945752976,-0.43548592996625307,-0.3459994181620465,
-0.39646139457529767,-0.43548592996625357,-0.34599941816204643,
-0.3964613945752978,-0.4354859299662533,-0.3459994181620466,
-0.40304741016724877,-0.4341454463946363,-0.3513375672971027,
-0.40304741016724865,-0.43247724246464203,-0.3513375672971026,
-0.40304741016724865,-0.4324772424646418,-0.34944577104715546,
-0.40304741016724877,-0.4324772424646418,-0.34944577104715546,
-0.40304741016724865,-0.432477242464642,-0.34554426181554093,
-0.40304741016724877,-0.43247724246464175,-0.3455442618155411,
-0.40304741016724877,-0.4330527393223615,-0.345544261815541,
-0.40304741016724877,-0.43501971644308685,-0.3455442618155411,
-0.40304741016724877,-0.435019716443087,-0.3455442618155412,
-0.40304741016724865,-0.4350197164430869,-0.3455442618155411,
-0.40304741016724877,-0.43622287798355724,-0.345544261815541,
-0.36065630893908174,-0.43622287798355736,-0.3455442618155411,
-0.36065630893908174,-0.43622287798355724,-0.3455442618155411,
-0.36065630893908174,-0.3944291167503807,-0.34554426181554093,
-0.36065630893908185,-0.39442911675038084,-0.345544261815541,
-0.36065630893908174,-0.39442911675038067,-0.3546183071219287,
-0.36065630893908174,-0.3923385501880345,-0.35461830712192866,
-0.36065630893908185,-0.39233855018803465,-0.3546183071219286,
-0.36065630893908185,-0.3927750347537649,-0.3546183071219286,
-0.3606563089390817,-0.3926581463323949,-0.35461830712192866,
-0.3606563089390819,-0.39293692118036305,-0.35461830712192866,
-0.3340403173347019,-0.39264607162003945,-0.35461830712192866,
-0.3340403173347019,-0.39302533510690946,-0.35461830712192877,
-0.33404031733470185,-0.3937863526155496,-0.3546183071219287,
-0.3340403173347019,-0.39232801867239964,-0.35461830712192866,
-0.3340403173347019,-0.39240925395779874,-0.35461830712192866,
-0.334040317334702,-0.3931739346760425,-0.3546183071219287,
-0.33404031733470185,-0.3911886156753202,-0.3546183071219288,
