High Income,Middle Income,Low Income
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
0,62.5,37.5
