High Income,Middle Income,Low Income;;;;;;;
0,0,0;;;;;;;
0.75,0.775,0.7697368421052632;;;;;;;
44682,1.545,1.513157894736842;;;;;;;
45689,11720,2.2828947368421053;;;;;;;
3,3.085,3.0526315789473686;;;;;;;
27454,3.835,3.789473684210526;;;;;;;
44685,4.595,4.559210526315789;;;;;;;
45778,1053525,5.328947368421052;;;;;;;
6,6.1075,6.098684210526316;;;;;;;
27546,2529458,6.809210526315789;;;;;;;
44688,1525071,7.578947368421052;;;;;;;
45870,8.355,8.348684210526315;;;;;;;
9,41518,9.118421052631579;;;;;;;
27638,2493025,9.802631578947368;;;;;;;
44691,1543425,10.572368421052632;;;;;;;
45962,11.285,11.342105263157896;;;;;;;
12,12.0125,12.111842105263158;;;;;;;
27729,12.745,12.881578947368421;;;;;;;
44694,13.52,13.532894736842104;;;;;;;
14.25,14.2375,14.302631578947368;;;;;;;
15,15.0125,15.072368421052632;;;;;;;
15.75,15.735,15.703947368421053;;;;;;;
44697,16.455,16.473684210526315;;;;;;;
17.25,17.115,17.24342105263158;;;;;;;
18,17.89,17.855263157894736;;;;;;;
18.75,18.665,18.625;;;;;;;
44700,19.375,19.394736842105264;;;;;;;
20.25,20.15,20.164473684210527;;;;;;;
21,20.925,20.75;;;;;;;
21.75,44763,21.519736842105264;;;;;;;
44703,22.475,22.092105263157894;;;;;;;
23.25,23.25,22.861842105263158;;;;;;;
24,24.0225,23.63157894736842;;;;;;;
24.75,24.75,24.401315789473685;;;;;;;
44706,25.52,25.17105263157895;;;;;;;
26.25,26.29,25.86842105263158;;;;;;;
27,26.97,26.638157894736842;;;;;;;
27.75,27.6475,27.407894736842106;;;;;;;
44709,28.4175,28.17763157894737;;;;;;;
29.25,44833,28.94736842105263;;;;;;;
30,29.86,29.717105263157894;;;;;;;
30.75,30.63,30.486842105263158;;;;;;;
44712,31.4,31.25657894736842;;;;;;;
32.25,32.17,32.026315789473685;;;;;;;
33,32.94,32.796052631578945;;;;;;;
33.75,33.71,33.56578947368421;;;;;;;
34.5,34.48,34.33552631578947;;;;;;;
35.25,35.25,35.10526315789474;;;;;;;
35,36.02,35.875;;;;;;;
35.75,36.79,36.64473684210526;;;;;;;
36.5,37.56,37.41447368421053;;;;;;;
37.25,38.33,38.18421052631579;;;;;;;
38,39.1,38.953947368421055;;;;;;;
38.75,39.87,39.723684210526315;;;;;;;
39.5,40.64,40.49342105263158;;;;;;;
40.25,41.41,41.26315789473684;;;;;;;
41,42.18,42.0328947368421;;;;;;;
41.75,42.95,42.80263157894737;;;;;;;
42.5,43.72,43.57236842105263;;;;;;;
43.25,44.49,44.3421052631579;;;;;;;
44,45.26,45.11184210526316;;;;;;;
44.75,46.03,45.88157894736842;;;;;;;
45.5,46.8,46.651315789473685;;;;;;;
46.25,47.57,47.421052631578945;;;;;;;
47,48.34,47.76973684210526;;;;;;;
47.75,49.11,48.53947368421053;;;;;;;
48.5,49.88,49.30921052631579;;;;;;;
49.25,50.65,50.078947368421055;;;;;;;
50,51.42,50.848684210526315;;;;;;;
50.75,52.19,51.61842105263158;;;;;;;
51.5,52.96,52.38815789473684;;;;;;;
52.25,53.73,53.1578947368421;;;;;;;
53,54.5,53.92763157894737;;;;;;;
53.75,55.27,54.69736842105263;;;;;;;
54.5,56.04,55.4671052631579;;;;;;;
55.25,56.81,56.23684210526316;;;;;;;
56,57.58,57.00657894736842;;;;;;;
56.75,58.35,57.776315789473685;;;;;;;
57.5,59.12,58.546052631578945;;;;;;;
58.25,59.89,59.31578947368421;;;;;;;
59,60.66,60.08552631578947;;;;;;;
59.75,61.43,60.85526315789474;;;;;;;
60.5,62.2,61.08552631578947;;;;;;;
61.25,62.97,61.85526315789474;;;;;;;
62,63.74,62.625;;;;;;;
62.75,64.51,63.39473684210526;;;;;;;
63.5,65.28,64.16447368421052;;;;;;;
64.25,65.8325,64.9342105263158;;;;;;;
65,66.6025,65.70394736842105;;;;;;;
65.75,67.3725,66.47368421052632;;;;;;;
66.5,68.1425,67.24342105263158;;;;;;;
67.25,68.9125,68.00657894736842;;;;;;;
68,69.6825,68.76973684210526;;;;;;;
68.75,70.4525,69.53289473684211;;;;;;;
69.5,71.2225,70.29605263157895;;;;;;;
70.25,71.9925,71.0592105263158;;;;;;;
71,72.7625,71.82236842105263;;;;;;;
71.75,73.5325,72.58552631578948;;;;;;;
72.5,74.3025,73.34868421052632;;;;;;;
73.25,75.0425,74.11184210526316;;;;;;;
74,75.8125,74.875;;;;;;;
74.75,76.5825,75.63815789473684;;;;;;;
75.5,77.0975,76.40131578947368;;;;;;;
76.25,77.8675,77.16447368421052;;;;;;;
77,78.6375,77.92763157894737;;;;;;;
77.75,79.4075,78.6907894736842;;;;;;;
78.5,80.1775,79.45394736842105;;;;;;;
77.02083333333333,80.9475,80.21710526315789;;;;;;;
77.77083333333333,81.7175,80.98026315789474;;;;;;;
78.52083333333333,82.4875,81.02631578947368;;;;;;;
79.27083333333333,83.2575,81.78947368421052;;;;;;;
80.02083333333333,83.75,82.55263157894737;;;;;;;
80.77083333333333,84.52,83.3157894736842;;;;;;;
81.52083333333333,85.29,84.07894736842105;;;;;;;
82.27083333333333,86.06,84.84210526315789;;;;;;;
82.85416666666667,86.83,85.60526315789474;;;;;;;
82.91489361702128,87.6,85.60526315789474;;;;;;;
83.65957446808511,87.8825,86.36842105263158;;;;;;;
84.40425531914893,88.6525,87.13157894736842;;;;;;;
85.14893617021276,89.4225,87.89473684210526;;;;;;;
85.8936170212766,90.1925,87.86842105263158;;;;;;;
86.63829787234043,90.66,88.63157894736842;;;;;;;
87.38297872340425,91.43,87.98684210526316;;;;;;;
88.12765957446808,91.8925,88.75;;;;;;;
88.68085106382979,92.6625,89.51315789473684;;;;;;;
89.42553191489361,93.12,90.27631578947368;;;;;;;
90.17021276595744,93.575,91.03947368421052;;;;;;;
90.91489361702128,94.345,91.80263157894737;;;;;;;
88.93617021276596,95.115,92.5657894736842;;;;;;;
89.68085106382979,95.5475,93.32894736842105;;;;;;;
90.38297872340425,96.3175,93.26973684210526;;;;;;;
91.12765957446808,96.8425,94.03289473684211;;;;;;;
91.87234042553192,97.2825,94.79605263157895;;;;;;;
92.61702127659575,98.0525,95.5592105263158;;;;;;;
93.36170212765957,98.8225,96.32236842105263;;;;;;;
94.1063829787234,99.255,95.3092105263158;;;;;;;
94.85106382978724,100.025,96.07236842105263;;;;;;;
95.59574468085107,100.5175,95.9342105263158;;;;;;;
96.34042553191489,100.9425,96.69736842105263;;;;;;;
97.08510638297872,101.365,97.46052631578948;;;;;;;
97.82978723404256,102.135,96.39473684210526;;;;;;;
98.57446808510639,102.5525,97.15789473684211;;;;;;;
99.31914893617021,103.22556390977444,97.92105263157895;;;;;;;
100.06382978723404,103.99498746867168,98.6842105263158;;;;;;;
100.80851063829788,104.76190476190476,99.44736842105263;;;;;;;
101.55319148936171,105.16541353383458,100.21052631578948;;;;;;;
102.29787234042553,105.56641604010025,100.01315789473684;;;;;;;
103.04255319148936,105.59649122807018,100.77631578947368;;;;;;;
103.7872340425532,106.36340852130326,101.05960264900662;;;;;;;
104.53191489361703,107.12531328320802,101.82119205298014;;;;;;;
105.27659574468085,107.88220551378446,102.58278145695364;;;;;;;
106.02127659574468,108.64912280701755,103.34437086092716;;;;;;;
106.76595744680851,109.0501253132832,104.10596026490066;;;;;;;
107.51063829787235,109.8170426065163,103.8543046357616;;;;;;;
108.25531914893617,110.54636591478696,104.52317880794702;;;;;;;
109,111.31328320802005,105.28476821192054;;;;;;;
109.74468085106383,112.07769423558898,106.04635761589404;;;;;;;
110.48936170212765,112.4486215538847,106.80794701986756;;;;;;;
111.23404255319149,112.83709273182957,107.56953642384106;;;;;;;
111.97872340425532,113.5187969924812,108.33112582781457;;;;;;;
112.72340425531915,114.28320802005013,109.09271523178808;;;;;;;
113.46808510638297,115.04761904761905,109.8543046357616;;;;;;;
114.2127659574468,115.81203007518798,110.6158940397351;;;;;;;
114.95744680851064,116.54887218045113,111.37748344370861;;;;;;;
115.70212765957447,117.31077694235589,112.13907284768212;;;;;;;
116.44680851063829,118.07268170426065,112.90066225165563;;;;;;;
117.19148936170212,118.83458646616542,113.66225165562913;;;;;;;
117.93617021276596,119.59649122807018,114.42384105960265;;;;;;;
118.68085106382979,120.35839598997494,115.18543046357615;;;;;;;
119.42553191489361,121.1203007518797,115.36423841059603;;;;;;;
120.17021276595744,121.45614035087719,116.11920529801324;;;;;;;
120.91489361702128,122.21804511278195,116.87417218543047;;;;;;;
121.65957446808511,122.97994987468671,117.62913907284768;;;;;;;
122.40425531914893,123.30827067669173,118.3841059602649;;;;;;;
123.14893617021276,124.0701754385965,119.13907284768212;;;;;;;
123.8936170212766,124.39348370927318,119.89403973509934;;;;;;;
124.63829787234043,124.71428571428571,120.64900662251655;;;;;;;
125.38297872340425,125.47619047619048,121.40397350993378;;;;;;;
126.12765957446808,126.23809523809524,122.15894039735099;;;;;;;
126.87234042553192,127,121.96026490066225;;;;;;;
127.61702127659575,127.75187969924812,122.71523178807946;;;;;;;
128.36170212765958,128.06766917293234,123.47019867549669;;;;;;;
129.10638297872342,128.8295739348371,124.2251655629139;;;;;;;
129.85106382978722,129.59147869674186,124.98013245033113;;;;;;;
130.59574468085106,130.35338345864662,125.73509933774834;;;;;;;
131.3404255319149,131.11528822055138,126.49006622516556;;;;;;;
132.08510638297872,131.87719298245614,127.24503311258277;;;;;;;
132.82978723404256,132.6390977443609,128;;;;;;;
132.2127659574468,132.93483709273184,128.75496688741723;;;;;;;
132.95744680851064,133.08291457286433,129.50993377483445;;;;;;;
133.70212765957447,133.84422110552765,127.74834437086092;;;;;;;
134.4468085106383,134.60552763819095,128.50331125827816;;;;;;;
131.10638297872342,135.36683417085428,128.7814569536424;;;;;;;
131.85106382978722,136.1281407035176,129.53642384105962;;;;;;;
132.59574468085106,135.9145728643216,130.2913907284768;;;;;;;
133.3404255319149,136.67336683417085,129.75496688741723;;;;;;;
134.08510638297872,137.4321608040201,130.50993377483445;;;;;;;
134.82978723404256,137.65577889447235,131.26490066225165;;;;;;;
135.5744680851064,137.91708542713567,130.7086092715232;;;;;;;
136.17021276595744,138.67587939698493,131.46357615894038;;;;;;;
136.91489361702128,139.43467336683418,132.2185430463576;;;;;;;
137.6595744680851,140.19346733668343,132.97350993377484;;;;;;;
138.40425531914894,140.95226130653268,133.35761589403972;;;;;;;
139.14893617021278,141.59798994974875,132.76158940397352;;;;;;;
139.89361702127658,141.84422110552765,133.50993377483445;;;;;;;
140.63829787234042,142.5753768844221,132.90066225165563;;;;;;;
141.38297872340425,143.33417085427135,133.64900662251657;;;;;;;
137.72340425531914,144.0929648241206,134.39735099337747;;;;;;;
138.46808510638297,144.85175879396985,135.1456953642384;;;;;;;
139.2127659574468,145.0854271356784,135.86754966887418;;;;;;;
139.95744680851064,145.31658291457288,136.6158940397351;;;;;;;
140.70212765957447,146.0753768844221,137.36423841059602;;;;;;;
136.93617021276594,146.82914572864323,138.11258278145695;;;;;;;
137.68085106382978,147.58793969849245,137.58940397350995;;;;;;;
138.4255319148936,148.17336683417085,138.33774834437085;;;;;;;
139.17021276595744,148.41708542713567,139.08609271523179;;;;;;;
139.91489361702128,149.17587939698493,139.83443708609272;;;;;;;
140.6595744680851,149.93467336683418,139.1456953642384;;;;;;;
141.40425531914894,150.69346733668343,139.34437086092714;;;;;;;
142.14893617021278,150.90201005025125,140.09271523178808;;;;;;;
142.89361702127658,151.6608040201005,140.82781456953643;;;;;;;
143.63829787234042,152.41959798994975,141.57615894039736;;;;;;;
144.38297872340425,153.178391959799,142.32450331125827;;;;;;;
145.12765957446808,153.93718592964825,143.0728476821192;;;;;;;
145.87234042553192,154.69597989949747,142.33774834437085;;;;;;;
146.61702127659575,155.45477386934672,143.08609271523179;;;;;;;
147.36170212765958,156.2110552763819,143.83443708609272;;;;;;;
148.10638297872342,156.96733668341707,144.58278145695365;;;;;;;
148.85106382978722,157.15075376884423,145.16556291390728;;;;;;;
149.59574468085106,157.90452261306532,145.91390728476821;;;;;;;
150.3404255319149,158.65577889447235,146.66225165562915;;;;;;;
151.08510638297872,158.82663316582915,147.41059602649005;;;;;;;
151.82978723404256,159.57788944723617,148.158940397351;;;;;;;
