id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?,utility-value,mean-utility,informed-flag,agent-strategy-flag,wait-time,park-time,switch-strategy-flag
1160,22893.428985558894,1,3.8733755865319957,false,-99,-99,1,false,true,true,-0.1363598691404876,-0.4104368233579325,1,1,0,10064.190173061197,0
956,22013.8414832996,1,4.789508739163425,false,-99,-99,3,false,true,true,-0.3230347245680476,-0.41021036217737844,2,4,0,6062.928463426844,0
1012,17793.418979680177,1,3.643024844988968,false,-99,-99,3,false,true,true,-0.445259374338592,-0.41021036217737844,1,1,0,11571.588439205245,0
1003,20072.750520400252,1,2.840196183743572,false,-99,-99,4,false,true,true,-0.3496332169303858,-0.41055848795566047,0,7,0,2852.0153246452037,0
1122,12047.797945926912,0,3.9110206767846645,true,-99,-99,6,false,true,true,-0.2963441330494711,-0.41040066547140613,0,6,0,2829.2133846428674,0
1057,59000.002110831825,2,5.961798507657585,true,-99,-99,9,false,true,true,-0.21082818090936253,-0.4103287523600136,2,4,0,2727.1107358757376,0
1020,13667.153900915266,0,1.7057645208213739,true,-99,-99,9,false,true,true,-0.08407941379562471,-0.4103287523600136,0,6,0,6368.098303123926,0
892,31908.344216311198,1,3.5169720450441284,false,-99,-99,9,false,true,true,-0.3452549690652031,-0.4103287523600136,1,1,0,2872.4284888596844,0
988,20275.93959801598,1,6.160789873953739,true,-99,-99,9,false,true,true,-0.30974258971481006,-0.4103287523600136,0,7,0,2336.3708019518735,0
1068,18203.586635114272,1,7.585075866261087,false,-99,-99,10,false,true,true,-0.6524963160362943,-0.4113003660078627,1,1,0,4977.367952116034,0
971,19697.98187231584,1,3.1829220645562306,false,-99,-99,10,false,true,true,-0.2742954812005715,-0.4113003660078627,0,7,0,1820.7532965582739,0
1035,17526.203002186518,0,3.877300977336058,true,-99,-99,11,false,true,true,-0.21471521847510464,-0.4101826693747667,1,3,0,1201.255474512298,0
980,13694.186341439887,0,2.3321629108555237,true,-99,-99,13,false,true,true,-0.46389948311265355,-0.4097223322872795,1,5,0,2206.463213501709,0
1145,23027.0063738607,1,5.168447210811643,false,-99,-99,15,false,true,true,-0.2997103635448784,-0.4087729650409201,1,1,0,947.993973421021,0
930,30125.88876579197,1,4.509573419810647,false,-99,-99,16,false,true,true,-0.3410118514720749,-0.4091585479355919,0,7,0,9965.374528516295,0
1132,44718.63369352101,1,4.246023441308943,false,-99,-99,19,false,true,true,-0.3631946386153426,-0.41047642260647815,0,6,0,3593.7180075493015,0
1010,67344.372910618,2,5.90446715631303,false,-99,-99,20,false,true,true,-1.2305817656445734,-0.4112825408385933,2,4,0,5480.590220873294,0
1187,33628.81826552375,1,3.467156723794532,false,-99,-99,18,false,true,true,-0.3873956776657367,-0.4076086453988188,1,5,0,26510.753815643904,0
951,29402.074114198338,1,3.114140871410936,true,-99,-99,22,false,true,true,-8.75019587570684,-0.4076086453988188,1,4,0,6044.1928685499615,0
1039,15884.936212393004,0,0.904086169513188,false,-99,-99,24,false,true,true,-0.33023076826219755,-0.37960682537259055,1,3,0,1623.3797525344196,0
1114,26116.442994608333,1,5.613800035063087,false,-99,-99,25,false,true,true,-0.5205501653111106,-0.3818148430638116,0,6,0,8863.810888239997,0
1176,23191.863604597565,1,2.776818489959209,false,-99,-99,27,false,true,true,-0.2712809834674412,-0.3804141634670395,2,1,0,21975.951636294572,0
938,24084.199333500284,1,3.453289674674948,false,-99,-99,28,false,true,true,-0.17115640790061132,-0.3807066081260788,1,3,0,2191.3296608616724,0
1067,18808.890813598304,1,5.408415375617393,true,-99,-99,28,false,true,true,-0.22422114545082478,-0.3807066081260788,2,3,0,10846.040550530757,0
1193,30696.444163108765,1,4.610165976901198,false,-99,-99,19,false,true,true,-0.3801175093767736,-0.3806282928837605,2,4,0,1623.1326837736258,0
1158,23268.185203431796,1,3.155514873580198,false,-99,-99,29,false,true,true,-0.02465634728993074,-0.3806282928837605,2,2,0,6282.632176067359,0
1063,55988.34237061136,2,7.1988649499178,false,-99,-99,30,false,true,true,-0.5163116768013376,-0.38081507203189946,0,6,0,3555.498562726965,0
1004,37537.76355934305,1,3.9347594928718705,false,-99,-99,34,false,true,true,-0.27139001889880426,-0.3781003880791842,2,1,0,17525.886898724057,0
1054,25875.73279820233,1,2.555263343725436,false,-99,-99,36,false,true,true,-0.6783369275725856,-0.3786671518016253,0,6,0,9847.951022108886,0
1207,19106.817074070095,1,4.887318212939555,false,-99,-99,8,false,true,true,-0.08099640673378547,-0.37733698807114135,0,6,0,4927.282015911046,0
1046,11141.841344620603,0,4.1911040551124294,false,-99,-99,38,false,true,true,-0.20991997995319384,-0.3783094921274314,0,6,0,9221.392439880181,0
1045,36727.6327235761,1,5.072542021171544,false,-99,-99,40,false,true,true,-0.30760076046608076,-0.3786970159643224,0,7,0,9826.838690168834,0
1196,11958.867190903527,0,1.619812503557897,false,-99,-99,28,false,true,true,-0.07661409222895194,-0.3786970159643224,0,6,0,5841.014368843061,0
1095,12801.74754861676,0,1.5227297760422183,false,-99,-99,40,false,true,true,-0.3105865219664596,-0.3786970159643224,1,1,0,1095.7271082527564,0
1173,13013.210065326077,0,2.3778889091901756,false,-99,-99,42,false,true,true,-0.012504280724155853,-0.37708552821437236,0,6,0,1716.7150421911329,0
953,58031.30833093299,2,7.521761170766473,false,-99,-99,43,false,true,true,-0.5749567294211153,-0.37774445315369265,2,1,0,4847.38724721374,0
1064,31261.98564951382,1,5.87825604835649,false,-99,-99,46,false,true,true,-0.32992843181494574,-0.37602063121073326,1,3,0,6076.921971608171,0
1195,21489.36549031233,1,5.469682816927871,false,-99,-99,37,false,true,true,-0.05440618692465418,-0.37508960512195555,1,4,0,15730.85626228982,0
1208,43629.86348137982,1,3.444513160009991,true,-99,-99,22,false,true,true,-0.2908865739222511,-0.37519832613954335,2,1,0,2771.58882202025,0
