id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?,utility-value,mean-utility,informed-flag,agent-strategy-flag,wait-time,park-time,switch-strategy-flag
916,23520.942400753265,1,4.625240334353325,false,-99,-99,19,false,true,true,-0.2735265781799571,-0.3670685581244908,0,7,0,11834.35380190044,0
901,27538.657766061755,1,3.3379891509677586,true,-99,-99,24,false,true,true,-0.414465370009965,-0.36587312568881347,1,1,0,18262.73212544694,0
1083,31287.48031302531,1,4.580401723088649,true,-99,-99,26,false,true,true,0.08146834396599952,-0.3656098068576882,1,4,0,9342.929537929236,0
935,40540.056345726596,1,4.699048200948138,true,-99,-99,26,false,true,true,-0.24087765294417549,-0.3656098068576882,1,3,0,6016.296312532544,0
1000,71241.91397297356,2,10.455610886012137,false,-99,-99,27,false,true,true,-0.3793302862349471,-0.36897078907088204,0,6,0,1045.9664137254197,0
1057,19736.696193288142,1,2.3725778939503614,false,-99,-99,27,false,true,true,-0.5733875557103976,-0.36897078907088204,1,2,0,5986.597661078337,0
1180,41224.095425036285,1,5.046929920652612,false,-99,-99,31,false,true,true,-0.16791224104863417,-0.367652542214976,0,7,0,2096.754445758897,0
1038,16018.090071681801,0,2.661536421480449,true,-99,-99,31,false,true,true,-0.665617325226733,-0.367652542214976,1,3,0,1161.5188973814686,0
980,21728.06963723845,1,2.973555687352489,false,-99,-99,33,false,true,true,-0.4532768674060137,-0.3657641781434239,2,5,0,8998.047946112345,0
1006,15847.15122217895,0,3.856456953735628,false,-99,-99,38,false,true,true,-0.16768166140671859,-0.36775700611905054,1,2,0,3415.399955717009,0
1020,33922.39529747615,1,7.756231353081273,true,-99,-99,39,false,true,true,-1.355062694713067,-0.3683181258007563,1,4,0,5632.245665388108,0
1209,15405.060717252489,0,2.9326923318330276,true,-99,-99,10,false,true,true,-0.09237292138316877,-0.3653839768788116,2,3,0,16667.117162890874,0
1045,27561.635682530195,1,4.879295517018846,false,-99,-99,43,false,true,true,-0.44530871518368914,-0.3670075881924289,0,6,0,1616.723275886314,0
