id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?
1126,14540.955343737354,0,3.1623747930633774,true,-99,-99,1,false,true,true
1041,16647.66655239018,0,4.201977470836187,true,-99,-99,6,false,true,true
893,46946.496268924726,1,5.255316861716969,true,-99,-99,6,false,true,true
1136,8603.49592694107,0,3.7920119385116076,false,-99,-99,6,false,true,true
1101,9106.549597112526,0,4.981237788639427,false,-99,-99,8,false,true,true
1062,14596.980639743877,0,2.4618351800041745,false,-99,-99,9,false,true,true
985,26313.100477549688,1,6.651254206534888,false,-99,-99,9,false,true,true
1167,14871.819638533445,0,2.792330693085274,true,-99,-99,9,false,true,true
923,48079.26477728166,2,10.318574529923199,false,-99,-99,9,false,true,true
1158,27443.043884598672,1,4.213027678666422,true,-99,-99,10,false,true,true
1023,31433.785595072874,1,2.2678989319331686,false,-99,-99,11,false,true,true
1169,50769.88391079443,2,9.120042020363048,false,-99,-99,11,false,true,true
1075,16042.575112386148,0,1.8179809130093163,false,-99,-99,13,false,true,true
973,43176.96418588264,1,3.6931832812864416,false,-99,-99,14,false,true,true
1012,26191.052255852654,1,6.491338083777807,false,-99,-99,15,false,true,true
1159,4754.666867157858,0,2.528115430214548,false,-99,-99,21,false,true,true
1112,30641.44353014537,1,4.671085378036791,false,-99,-99,22,false,true,true
920,20630.792096548277,1,4.238638126023648,false,-99,-99,25,false,true,true
1152,24527.798082618086,1,5.341591684989898,false,-99,-99,25,false,true,true
1194,28513.07272016984,1,3.9418430775649225,true,-99,-99,14,false,true,true
1177,20092.571342390147,1,5.082038802192819,false,-99,-99,27,false,true,true
1191,17480.284274369973,0,2.6042576717087362,false,-99,-99,21,false,true,true
916,32945.58180838022,1,5.3432008860059765,true,-99,-99,31,false,true,true
1064,45461.51607446893,1,5.83356977722103,false,-99,-99,32,false,true,true
967,29104.61445352825,1,4.911927041924043,true,-99,-99,33,false,true,true
1154,36768.81612357967,1,2.4081404883797615,false,-99,-99,34,false,true,true
942,16441.18939851974,0,2.3114448238033285,false,-99,-99,36,false,true,true
903,48803.25428269956,2,8.871281906817208,false,-99,-99,40,false,true,true
1151,40030.41321788471,1,5.368351608129301,true,-99,-99,42,false,true,true
1017,25584.05520549088,1,5.116597208046171,false,-99,-99,43,false,true,true
1166,28785.989697090903,1,3.5442123394388796,true,-99,-99,43,false,true,true
1195,62186.34560274202,2,8.309767157983515,true,-99,-99,33,false,true,true
1054,23243.693353966526,1,6.163629954159652,true,-99,-99,46,false,true,true
1084,20121.405659852117,1,3.6367278915341434,false,-99,-99,46,false,true,true
1213,19115.3641470643,1,3.9325451811722725,false,-99,-99,6,false,true,true
1114,32496.0815972501,1,4.578471995913476,false,-99,-99,58,false,true,true
1219,34974.099017053275,1,6.70854661525267,true,-99,-99,14,false,true,true
1208,21299.69046347917,1,4.051494064375717,false,-99,-99,34,false,true,true
1218,18016.726092679815,1,2.725900354268195,false,-99,-99,20,false,true,true
